Слово,Значення,Приклад,Сфера вживання,Частина мови,Іншомовний відповідник,Літературний відповідник
Інлайнити,вставляти код (JS/CSS) прямо в HTML,Ми вирішили інлайнити стилі в HTML.,фронтенд,дієслово,to inline,вставити всередину
Інпут,поле для введення даних,Заповни інпут перед надсиланням.,фронтенд,іменник,input,поле вводу
Ітерація,повторення дій у циклі або процесі розробки,Ми зараз на третій ітерації розробки.,загальне,іменник,iteration,повторення
Аватарка,зображення користувача,Постав нову аватарку в профілі.,загальне,іменник,avatar,зображення профілю
Адаптив,"зовнішній вигляд сайту, який підлаштовується під різні розміри екранів (телефон, планшет, комп'ютер)",Сайт має хороший адаптив — все виглядає ідеально на мобілках.,фронтенд,іменник,adaptive,адаптивний інтерфейс
Аджайл,"спосіб організації роботи в команді, де все робиться поступово та з урахуванням відгуків",У нас команда працює за аджайлом.,загальне,іменник,agile,-
Айдішник,"унікальний номер або назва, яка допомагає знайти щось у системі",Прив’яжи айдішник користувача до нової сесії.,бекенд,іменник,ID,ідентифікатор
Альфа,"перша, ще «сирувата» версія програми, яку тестують розробники",Альфа ще не стабільна — буде багато багів.,бекенд,іменник,alpha version,попередня версія
Ангуляр,популярний фреймворк для фронтенду,Цей сайт зроблений на Ангулярі.,фронтенд,іменник,Angular,-
Апрув,схвалення змін або задачі,Без апрува тімліда не заливаємо.,загальне,іменник,approval,схвалення
Апрувнути,схвалити щось,Тімлід уже апрувнув мій пул-реквест.,загальне,дієслово,approve,схвалити
Апішка,"невидимий міст між різними частинами програми, який допомагає їм спілкуватися","Чекаю, поки апішка поверне відповідь.",бекенд,іменник,API,-
Асінк,асинхронне програмування,Асінк допомагає обробляти запити без блокування.,бекенд,іменник,async,-
Аутсорс,делегування роботи сторонній компанії,Цю частину проєкту віддали на аутсорс.,загальне,іменник,outsourcing,-
Баг,помилка в програмі,Знову якийсь баг у верстці.,QA,іменник,bug,помилка
Бандл,зібраний у єдиний файл JavaScript або CSS,Згенеруй бандл перед деплоєм.,фронтенд,іменник,bundle,-
Бандлер,інструмент для збирання бандлів,Ми використовуємо Webpack як бандлер.,фронтенд,іменник,bundler,-
Бахнути,швидко реалізувати щось,Я бахнув новий компонент за вечір.,бекенд,дієслово,-,-
Бекап,резервна копія даних,Зроби бекап перед оновленням системи.,DevOps,іменник,backup,резервна копія
Бекапити,створювати резервну копію,Я щодня бекаплю базу даних.,DevOps,дієслово,to backup,робити резервну копію
Бекенд,серверна частина додатку,У цьому проєкті я займаюсь тільки бекендом.,бекенд,іменник,back-end,-
Беклог,"список задач, що очікують виконання",В понеділок будемо розбирати беклог.,загальне,іменник,backlog,список задач
Бета,"тестова версія програми, доступна користувачам",Вийшла бета нового застосунку — можна тестити.,QA,іменник,beta version,тестова версія
Бот,"автоматизована програма, що імітує дії користувача",Цей бот відповідає на всі повідомлення в Telegram.,фронтенд,іменник,bot,автоматизована програма
Брейкпоінт,точка зупинки в коді або умовний розмір екрану для адаптиву,"Постав брейкпоінт і подивися, що відбувається.",фронтенд,іменник,breakpoint,-
Білд,зібрати проєкт у готову до запуску версію,Білд завершено успішно.,загальне,іменник,build,збирання проєкту
Валідація,перевірка даних перед відправкою чи обробкою,Без валідації форма не відправляється.,фронтенд,іменник,validation,перевірка
Вивід / лог,"результат роботи програми, зазвичай у консолі",Подивись вивід у консолі.,бекенд,іменник,output / log,вихідні дані
Викотити,зробити доступним нову версію продукту,Ми викотили новий реліз учора вночі.,DevOps,дієслово,to deploy,викласти (оновлення)
Випадашка,спадне меню,Зроби нормальну стилізацію випадашки.,фронтенд,іменник,dropdown menu,спадне меню
Вихідник,вихідні файли або код,"Залий вихідник у репозиторій, будь ласка.",загальне,іменник,source code,вихідний код
Ворнінг,попередження про потенційну помилку,"Після запуску програма показала ворнінг — значить, щось може піти не так.",QA,іменник,warning,попередження
Відкатити,"Скасувати зміни, повернутися до попередньої версії.",Якщо зломалось — можна відкатити.,загальне,дієслово,-,-
Галера,компанія з низькою зарплатнею та поганими умовами,Працював рік на галері — жахливий досвід.,загальне,іменник,-,-
Грумити,"підготовлювати й упорядковувати список задач, щоб усім було зрозуміло, що і коли робити",Ми щоп'ятниці грумимо таски на наступний спринт.,загальне,дієслово,to groom,-
Грід,"сітка (CSS Grid), метод верстки",Цей блок зроблений на гріді.,фронтенд,іменник,grid,-
Гіт,система контролю версій Git або GitHub,Залив зміни в гіт — дивись мій коміт.,бекенд,іменник,Git,-
ДРАЙ,принцип Don’t Repeat Yourself (не дублюй код),Тримайся принципу ДРАЙ — менше дубляжу.,бекенд,іменник,DRY,-
Движок,"система керування контентом (CMS), на основі якої працює сайт або застосунок",Цей сайт працює на вордпресовому движку.,бекенд,іменник,-,-
Дебажити,виправляти помилки в коді,Сиджу дебажу вже другу годину.,QA,дієслово,to debug,усувати помилки
Дезігнер,зневажлива назва дизайнера,Та ваш дезігнер знову кольори переплутав.,фронтенд,іменник,designer,дизайнер
Деплой,процес викладання нової версії,"Деплой сьогодні вночі, готуйтеся.",DevOps,іменник,deployment,-
Деплоїти,викладати нову версію,Можеш деплоїти після рев’ю.,DevOps,дієслово,to deploy,-
Джаваскриптер,неформально про JS-розробника,Я джаваскриптер — пишу тільки на JavaScript.,фронтенд,іменник,JavaScripter,-
Джиндекс,жартома: неправильне index.js,"Та ти що, знову джиндекс підключив?",фронтенд,іменник,-,-
Джун,початківець у розробці (Junior),У нас новий джун в команді — навчається швидко.,загальне,іменник,junior developer,молодший фахівець
Джуніор,початковий рівень розробника,"Я ще джуніор, але вже працюю над продом.",загальне,іменник,junior developer,молодший фахівець
Докеризувати,"обгорнути застосунок в докер (платформу для розробки, доставки та запуску контейнерних додатків)",Ми докеризували застосунок і тепер можемо запускати його будь-де без налаштувань.,DevOps,дієслово,-,-
Дом,структура HTML,"Зміни Дом, щоб відображення оновилось.",фронтенд,іменник,DOM,-
Дропдаун,спадне меню,У тебе зламався дропдаун у формі входу.,фронтенд,іменник,dropdown,спадне меню
Дропнути,видалити або скинути щось,Якщо таблиця більше не потрібна — просто дропни її.,бекенд,дієслово,to drop,видалити
Еліас,псевдонім для команди або імпорту,Пропиши еліас у конфігу.,бекенд,іменник,alias,псевдонім
Ендпоінт,точка доступу до API,Цей ендпоінт повертає всі продукти.,бекенд,іменник,endpoint,точка доступу
Жаба,іронічна назва мови програмування Java,Пишу вебапку на жабі.,бекенд,іменник,Java,-
Жабаскрипт,іронічна назва JavaScript,На цьому проєкті лише жабаскрипт.,фронтенд,іменник,JavaScript,-
Залити,завантажити щось на сервер,Залий зображення на S3.,DevOps,дієслово,to upload,завантажити
Запиляти,реалізувати щось,Я вже запиляв лендінг для клієнта.,фронтенд,дієслово,to build/implement,реалізувати
Зашаманити,"швидко щось «підрихтувати» в коді, без структури","Я зашаманю цей код, щоб хоч якось працювало.",бекенд,дієслово,-,підправити
Збагнути стек,"увійти в курс справи, зрозуміти систему","Потрібно трохи часу, щоб збагнути стек.",загальне,сполука,understand the stack,увійти в курс справ
Збілдити,зібрати проєкт у готову до запуску версію,Потрібно збілдити проєкт перед релізом.,загальне,дієслово,to build,збирання проєкту
Злетіло,щось перестало працювати,Сайт злетів — нічого не вантажиться.,загальне,іменник,-,-
Змія,іронічна назва мови програмування Python,Я почав писати на Змії.,бекенд,іменник,Python,-
Знести,видалити,Знеси стару версію проєкту перед оновленням.,загальне,дієслово,-,-
Клікати,"натискати мишею (кнопку, елемент)",Просто клікай по кнопці і все.,загальне,дієслово,to click,натискати
Клікер,"той, хто тестує без розуміння логіки (жартівливо про тестера)",Він просто клікер — тицяє все підряд.,QA,іменник,clicker,-
Кол,онлайн-дзвінок або відеоконференція,Зустрінемось на колі о третій.,загальне,іменник,call,дзвінок
Коміт,збереження змін у системі контролю версій,"Зроби коміт перед тим, як пушити.",бекенд,іменник,-,-
